label
perfect
high
low
high
perfect
fail
low
fail
high
high
high
fail
low
high
perfect
high
low
perfect
low
low
low
low
high
perfect
high
high
perfect
high
high
high
perfect
high
high
high
perfect
fail
fail
perfect
fail
low
high
high
fail
perfect
low
low
fail
high
high
high
